ProdTaken,Age,CityTier,DurationOfPitch,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,MonthlyIncome
1,0.43755329459817977,3,0.008196721311475405,3,2,3,1,1,2,0.20468273306169252
0,1.336138353260783,1,0.07377049180327869,4,2,4,2,0,3,0.19584758082679826
1,-0.011739234733121834,1,0.02459016393442623,4,0,3,7,1,3,0.16472491246749524
0,-0.4610317640644234,1,0.032786885245901634,3,0,3,2,1,5,0.17310960502876802
0,-0.011739234733121834,1,0.02459016393442623,3,0,4,1,0,5,0.17883249042773194
0,-0.5733548963972488,1,0.02459016393442623,3,0,3,1,0,5,0.1747374024857184
0,2.459369676589037,1,0.032786885245901634,2,0,5,5,1,2,0.17066278998341491
0,-0.7980011610628996,1,0.20491803278688525,3,0,3,2,0,2,0.17089825754008067
0,0.10058389759970357,1,0.19672131147540983,4,1,3,1,0,3,0.2408525973095272
0,-0.12406236706594724,1,0.2295081967213115,3,2,3,7,0,3,0.1969430168512869
0,-0.23638549939877262,1,0.13934426229508196,2,0,4,1,0,3,0.16816478633878665
0,-0.011739234733121834,1,0.13114754098360654,4,2,3,1,1,3,0.21470546079977068
0,-0.6856780287300742,1,0.2213114754098361,3,0,3,2,0,3,0.17313008046847808
0,-0.34870863173159805,1,0.1639344262295082,3,0,3,1,0,3,0.1705706505047196
1,-1.0226474257285505,1,0.20491803278688525,4,0,3,6,1,2,0.16409017383648314
0,-0.9103242933957251,1,0.18032786885245905,2,1,5,2,0,5,0.24550052212371262
0,-0.5733548963972488,1,0.04918032786885246,2,0,4,1,1,2,0.17709207805237617
0,-1.6965862197255028,1,0.13934426229508196,2,0,3,2,1,3,0.17337578574499887
0,1.7854308825920846,3,0.02459016393442623,4,3,3,3,0,3,0.30126538217408216
0,-0.011739234733121834,1,0.02459016393442623,3,0,3,6,1,4,0.21470546079977068
0,-0.011739234733121834,1,0.09836065573770493,2,2,3,1,0,3,0.21470546079977068
1,-0.011739234733121834,3,0.0819672131147541,4,2,5,1,0,2,0.17820798951657488
0,-0.34870863173159805,1,0.06557377049180328,3,1,4,1,0,3,0.2661192899117508
0,-1.8089093520583281,1,0.13114754098360654,3,0,3,2,0,3,0.15594094883187617
1,-0.34870863173159805,1,0.05737704918032786,3,0,5,3,0,2,0.17363172874137472
0,1.7854308825920846,1,0.04918032786885246,3,4,3,5,0,5,0.33880710088249144
1,-0.011739234733121834,1,0.13934426229508196,5,0,5,2,1,4,0.21470546079977068
0,0.5498764269310051,3,0.07377049180327869,3,2,4,1,0,3,0.2132005159810807
0,0.774522691596656,1,0.06557377049180328,4,1,3,4,0,4,0.24824423104486168
0,0.9991689562623067,3,0.02459016393442623,3,4,5,4,0,2,0.3373021560638015
0,-0.4610317640644234,1,0.02459016393442623,3,0,3,5,0,3,0.168881426728639
0,0.774522691596656,1,0.09016393442622951,3,2,3,3,1,3,0.2095149368332685
0,-0.7980011610628996,1,0.0819672131147541,4,0,3,2,0,4,0.16591248797067917
1,0.21290702993252897,3,0.04918032786885246,3,2,3,4,0,2,0.1646839615880751
1,-1.471939955059852,1,0.008196721311475405,3,0,3,3,1,3,0.16680316959806712
0,0.6621995592638306,1,0.02459016393442623,2,0,3,2,0,2,0.17040684698703906
1,1.4484614855936084,3,0.032786885245901634,4,0,3,2,1,4,0.17079588034153034
0,-0.23638549939877262,3,0.02459016393442623,3,0,3,2,0,2,0.16394684575851268
0,-0.4610317640644234,3,0.008196721311475405,2,2,5,3,0,3,0.1983660599111366
0,-0.23638549939877262,1,0.04098360655737705,3,0,3,2,0,4,0.16330186940764554
0,-1.1349705580613758,1,0.02459016393442623,3,0,5,2,0,3,0.16729458015110876
1,-1.2472936903942013,1,0.21311475409836067,5,0,3,2,0,2,0.16680316959806712
